Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Budget
7,owner,60,23,married,no_rec,fixed,35,111,3000,0,1600,1707
15,parents,60,26,married,no_rec,fixed,45,140,0,0,1200,1637
10,owner,48,32,widow,no_rec,others,45,110,3000,0,500,1190
35,owner,48,50,married,no_rec,freelance,60,84,13000,0,1390,1390
11,priv,60,51,married,yes_rec,fixed,35,100,2000,200,1220,1400
18,rent,60,52,married,no_rec,fixed,77,170,4000,0,1300,1604
0,rent,30,25,married,no_rec,freelance,75,246,0,0,600,830
1,rent,60,49,married,no_rec,others,54,87,8000,0,1000,1202
11,rent,18,34,married,yes_rec,freelance,60,77,0,0,250,400
27,owner,60,54,married,no_rec,freelance,45,200,11000,0,1100,1300
5,owner,48,41,married,no_rec,fixed,60,130,4000,0,950,1544
8,owner,12,44,married,no_rec,freelance,60,142,6000,0,200,1048
5,owner,60,25,married,yes_rec,freelance,45,107,8000,0,2500,3106
5,owner,48,41,married,no_rec,fixed,90,137,2000,0,1100,1487
4,owner,60,21,single,no_rec,fixed,35,130,3000,0,700,1504
3,parents,60,34,married,no_rec,fixed,45,77,0,0,1000,1094
15,rent,60,34,married,no_rec,fixed,90,150,0,0,1450,1450
10,owner,18,29,married,no_rec,freelance,75,181,4000,0,600,1000
2,owner,60,33,married,no_rec,fixed,60,88,3500,500,1100,1263
15,owner,60,39,married,no_rec,fixed,75,240,10000,7000,1000,1026
13,parents,48,23,married,no_rec,fixed,90,105,0,0,1200,1590
20,owner,60,49,married,no_rec,fixed,60,195,15000,0,900,1430
5,parents,60,40,married,yes_rec,fixed,35,176,0,0,1000,1388
3,owner,60,17,single,yes_rec,freelance,35,178,9000,3000,1500,1528
2,other,60,17,married,yes_rec,fixed,60,125,0,0,1100,1281
3,rent,60,19,married,no_rec,fixed,54,90,0,0,1442,1597
3,owner,60,30,married,no_rec,fixed,60,104,5000,0,1000,1317
24,owner,60,40,married,no_rec,fixed,90,198,3500,0,900,1541
3,owner,36,42,married,no_rec,freelance,60,106,10000,0,800,1649
3,owner,60,59,widow,no_rec,others,35,135,2500,0,650,660
12,owner,36,27,married,no_rec,fixed,45,115,3500,0,800,1280
14,owner,60,35,married,no_rec,fixed,45,91,0,0,1100,1565
15,owner,60,58,married,no_rec,fixed,60,315,3500,266,1000,1241
7,owner,60,48,married,no_rec,fixed,45,161,6000,2000,1000,1460
10,owner,6,41,married,no_rec,freelance,45,464,10000,0,1100,2235
7,priv,60,31,married,yes_rec,fixed,60,300,7000,0,2000,2485
4,owner,48,35,married,yes_rec,fixed,60,150,3500,200,800,800
4,rent,60,33,married,yes_rec,fixed,118,130,0,0,900,1086
5,rent,48,31,married,yes_rec,freelance,72,120,100000,0,775,950
0,owner,48,61,married,no_rec,others,35,45,5500,0,1250,1267
15,priv,48,44,married,yes_rec,fixed,60,112,2000,1000,900,960
35,rent,60,47,married,no_rec,fixed,83,384,3000,3000,900,1633
